QuestionID,Question,Category,SubCategory
clientSpaceSize,Are space and client flow arranged to allow all steps to take place simultaneously without disrupting each other or affecting privacy?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
spaceCleaniness,"Is the facility clean (free of litter; clean floors, walls, doors, furniture)?","Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
waitingSpace,Is there enough room (indoor or outdoor) for all clients to wait comfortably without obstructing hallways?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
examinationroomTemperature,Is the temperature comfortable?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
examionationroomLighting,Is the lighting sufficient to let staff perform the activities conducted correctly?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
examinationroomSpace,Is the space sufficient for provider to perform a thorough exam?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
bloodPressureCuff,Is a working ADULT blood pressure cuff available on site?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
scaleonSite,Is a working scale available on site?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
vmmcOperatingRooms,Does the site have operating theatres or operating rooms that are used for VMMC?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
operatingBeds,Are the total number of operating beds adequate for the volumes of the VMMC site?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
operatingTheatreTemperature,Is the temperature comfortable?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
procedureroomLighting,Is the lighting sufficient to let staff perform the activities conducted correctly?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
procedureroomSpace,Is the space sufficient to let all beds be used simultaneously without providers interfering with each other?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
operatingTheatreVisualPrivacy,"Is there visual privacy in theatre, e.g. screens between operating beds","Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
operatingTheatreWater,Is there running water (this includes clean water that runs from a tank or basin)?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
operatingTheatreSoap,Is there hand soap or gel available?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
anaestheticDosingCharts,Are anaesthetic dosing charts displayed?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
handDryingMaterial,Are there clean and disposable hand drying materials available?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
recoveryroomSpace,Is the space sufficient for all clients being circumcised to comfortably spend at least 30 minutes?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
recoveryroomLighting,Is the lighting adequate to allow staff to monitor clients?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
recoveryroomTemperature,Is  the temperature comfortable?,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
OperatingTheatreComment,Give a Comment to this Section,"Facilities Supplies, Emergency ",Operation Theatre and Recovery Room
sufficientReusableSupply,"Over the past three months, has the reusable supply inventory been sufficient to maintain uninterrupted services?","Facilities Supplies, Emergency ",Facility Supplies
sterileKitsCleanArea,Are all sterile kits stored in a visibly clean area?,"Facilities Supplies, Emergency ",Facility Supplies
sterileKitsElevated,Are all sterile kits stored elevated above the floor (e.g. on a pallet)?,"Facilities Supplies, Emergency ",Facility Supplies
sterileKitsNotTouchingWalls,Are all sterile kits stored away from (not touching) outside walls?,"Facilities Supplies, Emergency ",Facility Supplies
sterileKitsNotTouchingCeiling,Are all sterile kits stored away from (not touching) ceiling?,"Facilities Supplies, Emergency ",Facility Supplies
availableKits,Indicate whether each type of kit is being used at this site?,"Facilities Supplies, Emergency ",Facility Supplies
suppliesAvailable,Which of the following equipment and supplies are available? ( If available tick relevant checkbox),"Facilities Supplies, Emergency ",Facility Supplies
temperatureHIVtestKits,Are HIV test kits stored in a temperature-controlled or temperature monitored environment? (Verify the manufacturer’s temperature specifications),"Facilities Supplies, Emergency ",Facility Supplies
storageforRTKs,Is there adequate and safe storage space for RTKs?,"Facilities Supplies, Emergency ",Facility Supplies
stock-outRTKs,Has there been a stock-out of RTKs in the past 3 months?,"Facilities Supplies, Emergency ",Facility Supplies
stock-outRTKstoPatientNotTested,Has a stock-out of RTKs in the past 3 months resulted in a patient not being tested (i.e. 1 test in the national algorithm substituted for another)?,"Facilities Supplies, Emergency ",Facility Supplies
suppliesComment,Give a comment to this Section,"Facilities Supplies, Emergency ",Facility Supplies
clientHTSPrivacy,HTS Room(s) – Is there visual and auditory privacy (other clients will not see testing; no client traffic through room; screens or partitions are acceptable)?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
htsContainers,"Are sharps and waste containers available and being used for disposal of lancets, syringes and other sharps?","Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
htsroomSanitationSupplies,Are any of the following available? (If available Select Relevant Checkbox),"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
htsdisposableGloves,Are disposable gloves consistently used by all staff performing HIV testing?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
siteCondoms,Does this site have an exemption to providing condoms written into its contract either with USG or with the prime partner?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
condomDemonstration,Are there condom demonstration models at various points of service?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
condom-stock-outs,"Has there been any condom stock outs in the past 3 months due to ANY of these: no order placed (review records), order not received or demand higher.","Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
condomsAvailableToday,Are condoms available today?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
condomsExpiringStatus,Do the condoms have at least one month remaining before they expire?(If no condoms available=No),"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
dentalDams,Are Dental Dams available?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
condomCompatibleLubricants,Are there Condom Compatible Lubricants,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
is_there_a_plan_for_monitoring_condom_supply,Is there a plan for monitoring condom supply?,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
htsandSTIComment,Give a comment to this Section,"Facilities Supplies, Emergency ",Facilities Supplies -> HTS Safety  & STI and Condom Program
medicinesTemperature,"Medicines - Are these stored in a temperature-controlled (shaded, ventilated) or monitored (thermometer, temperature log) environment?","Facilities Supplies, Emergency ",Medicines
stiMedicines,STI Medicines – Are these available on site?,"Facilities Supplies, Emergency ",Medicines
availableDrugs,"Are the following drugs available? ( If available , tick the relevant checkbox)","Facilities Supplies, Emergency ",Medicines
stiMedicinesStockOuts,STI Medicines – Has the site been free of stock outs for the past 3 months for each of the drugs below? (If a drug evaluates to true for the criteria of this question tick the relevant checkbox),"Facilities Supplies, Emergency ",Medicines
oralAnalgesics,Are oral analgesics available on site?,"Facilities Supplies, Emergency ",Medicines
antibiotics,Are these available (If a drug evaluates to true for the criteria of this question tick the relevant checkbox),"Facilities Supplies, Emergency ",Medicines
oralAnalgesicsStockOut,Has the site been free of stock outs of oral analgesics for the past 3 months?,"Facilities Supplies, Emergency ",Medicines
medicineStockouts,Has the site been free of stock outs for any of these medicines in the past 3 months?,"Facilities Supplies, Emergency ",Medicines
local_anesthetics__has_the_site_been_free_of_stock_outs_for_the_past_3_mont,Local Anesthetics – Has the site been free of stock outs for the past 3 months on the following?,"Facilities Supplies, Emergency ",Medicines
medicineStorage,Medicines Storage – Are medicines stored in a clean and dry area?,"Facilities Supplies, Emergency ",Medicines
medicinesSecureArea,Are medicines stored in a secure area?,"Facilities Supplies, Emergency ",Medicines
medicinesLabelling,Are medicines clearly labeled?,"Facilities Supplies, Emergency ",Medicines
medicinesOrganisation,Are medicines clearly organized?,"Facilities Supplies, Emergency ",Medicines
medicinesDispensed,Are older medicines dispensed first?,"Facilities Supplies, Emergency ",Medicines
medicinesShelflife,Are all the medicines within the shelf life?,"Facilities Supplies, Emergency ",Medicines
medicinesComment,Give a comment to this Section,"Facilities Supplies, Emergency ",Medicines
documentationofMedicationsDispensed,Is there documentation of medications dispensed?,"Facilities Supplies, Emergency ",Medicines
dispensingRecordsUptodate,Look at 2 pages of logbook. Are dispensing records complete and up-to-date?,"Facilities Supplies, Emergency ",Medicines
writtenProtocolMedicalDispensing,Is a written protocol for medication dispensing and documentation available?,"Facilities Supplies, Emergency ",Medicines
wastesegregated,Is infectious waste segregated from common waste with separate waste containers (i.e. not co-mingled)?,"Facilities Supplies, Emergency ",Waste Management
loose_non_containerized,"Is loose, non-containerized infectious waste present inside or outside of the facility?","Facilities Supplies, Emergency ",Waste Management
wasteContainers,Are syringes and sharps collected in rigid containers that are WHO approved?,"Facilities Supplies, Emergency ",Waste Management
